Year 1,Year 2,U-statistic,P-value,Significant,Mean_Error_Y1,Mean_Error_Y2
2019,2020,3110.0,0.8915936511117586,No,10.692422605773615,10.98833728142514
2019,2021,3245.0,0.30758189166767824,No,10.692422605773615,11.975231760138149
2019,2022,2826.0,0.01056428407310807,Yes,10.692422605773615,13.92915738805234
2019,2023,3560.0,0.5085695936464993,No,10.692422605773615,10.741338039749458
2019,2024,2970.0,0.248538831407926,No,10.692422605773615,12.611438033520905
2020,2021,3001.0,0.5247827035683439,No,10.98833728142514,11.975231760138149
2020,2022,2627.0,0.032928983935467886,Yes,10.98833728142514,13.92915738805234
2020,2023,3257.0,0.7005906965898117,No,10.98833728142514,10.741338039749458
2020,2024,2691.0,0.3272823674389421,No,10.98833728142514,12.611438033520905
2021,2022,3180.0,0.11333166438964835,No,11.975231760138149,13.92915738805234
2021,2023,3959.0,0.6902234408832599,No,11.975231760138149,10.741338039749458
2021,2024,3278.0,0.7948732929664847,No,11.975231760138149,12.611438033520905
2022,2023,4610.0,0.04156504083692274,Yes,13.92915738805234,10.741338039749458
2022,2024,3759.0,0.2978039527179912,No,13.92915738805234,12.611438033520905
2023,2024,3311.0,0.4429397893345626,No,10.741338039749458,12.611438033520905
